year,reporting_org_ref,value_usd
1992,44000,11315650
1991,44000,18421661
2019,XM-DAC-41149,143712186
2020,XM-DAC-61-2,783907.004379862
2019,XM-DAC-61-2,705877.42134856
2018,XM-DAC-61-2,160814.73875957
2017,XM-DAC-61-2,84124.2177366351
2016,XM-DAC-61-2,27110.1233597138
2020,41119,753336506.67
2020,XI-IATI-EC_DEVCO,3610363575.41056
2019,XI-IATI-EC_DEVCO,4881901330.16806
2018,XI-IATI-EC_DEVCO,5119726217.75223
2017,XI-IATI-EC_DEVCO,5537511872.02484
2016,XI-IATI-EC_DEVCO,5096576363.63738
2015,XI-IATI-EC_DEVCO,4611743286.24903
2014,XI-IATI-EC_DEVCO,3668974963.08018
2013,XI-IATI-EC_DEVCO,3529087043.87487
2012,XI-IATI-EC_DEVCO,4037501720.85562
2011,XI-IATI-EC_DEVCO,3630994983.85584
2010,XI-IATI-EC_DEVCO,4251234555.09883
2009,XI-IATI-EC_DEVCO,4086011954.78291
2008,XI-IATI-EC_DEVCO,9306322802.7758
2007,XI-IATI-EC_DEVCO,2113586786.90554
2006,XI-IATI-EC_DEVCO,2012842286.33758
2005,XI-IATI-EC_DEVCO,2135097840.18857
2004,XI-IATI-EC_DEVCO,1994787988.33494
2020,US-GOV-1,17523270110.52
2019,US-GOV-1,19590586390.85
2018,US-GOV-1,18260681004.76
2017,US-GOV-1,18260592388.78
2016,US-GOV-1,18459062788.37
2015,US-GOV-1,16797794941.31
2014,US-GOV-1,17755122401.87
2013,US-GOV-1,16018611349.46
2012,US-GOV-1,3970722911.35
2019,ET-CSA-0486,24891.7460757022
2018,ET-CSA-0486,41530.6340367931
2017,ET-CSA-0486,60951.4730519632
2016,ET-CSA-0486,36364.4113825492
2020,XI-IATI-21032,465418.630143227
2019,XI-IATI-21032,5196994.96242727
2018,XI-IATI-21032,7163529.47732787
2017,XI-IATI-21032,2289428.18844938
2016,XI-IATI-21032,1287340.44615825
2021,XM-OCHA-CBPF,5503751.37
2020,XM-OCHA-CBPF,931997822.4
2019,XM-OCHA-CBPF,838417588.67
2018,XM-OCHA-CBPF,783529945.49
2017,XM-OCHA-CBPF,657576200.86
2016,XM-OCHA-CBPF,470035570.66
2015,XM-OCHA-CBPF,427257.42
2020,GB-COH-02768268,6998047.92899414
2019,GB-COH-02768268,5039278.92970387
2018,GB-COH-02768268,4362370.25551917
2017,GB-COH-02768268,4124302.30774059
2016,GB-COH-02768268,5374898.11407322
2015,GB-COH-02768268,571688.544474051
2014,GB-COH-02768268,85597.1076975924
2020,XM-DAC-21018,1018369208.93899
2019,XM-DAC-21018,1765026312.62028
2018,XM-DAC-21018,2576178533.11847
2017,XM-DAC-21018,2194847543.82001
2016,XM-DAC-21018,2323655815.13762
2015,XM-DAC-21018,2212566764.58364
2014,XM-DAC-21018,1286172689.47979
2013,XM-DAC-21018,1123891047.42531
2012,XM-DAC-21018,456987159.513702
2011,XM-DAC-21018,311206971.564123
2010,XM-DAC-21018,622290214.702288
2009,XM-DAC-21018,523169.83835324
2008,XM-DAC-21018,5363899.47820832
2020,GB-CHC-1127488,331896.907721574
2019,GB-CHC-1127488,1731203.13207002
2018,GB-CHC-1127488,42820948267206
2017,GB-CHC-1127488,216873116097297
2016,GB-CHC-1127488,145685506651001
2015,GB-CHC-1127488,179577932317140
2014,GB-CHC-1127488,16964096247314
2013,GB-CHC-1127488,41025756845720.7
2012,GB-CHC-1127488,56869477303419.3
2011,GB-CHC-1127488,35200381916224.3
2019,BE-BCE_KBO-0447404580,1924708.22692499
2018,BE-BCE_KBO-0447404580,2154987.55498808
2017,BE-BCE_KBO-0447404580,968588.340287626
2018,XI-IATI-1002,54327.810974822
2017,XI-IATI-1002,189800.871619486
2016,XI-IATI-1002,155827.957890389
2015,XI-IATI-1002,28471.2819615204
2020,XM-DAC-6-4,274858373.027641
2019,XM-DAC-6-4,438616204.080356
2018,XM-DAC-6-4,618472548.553174
2017,XM-DAC-6-4,584998247.139161
2016,XM-DAC-6-4,374762592.272202
2015,XM-DAC-6-4,251171196.565382
2014,XM-DAC-6-4,188407497.593073
2013,XM-DAC-6-4,140381415.624819
2012,XM-DAC-6-4,152455155.760381
2011,XM-DAC-6-4,131541267.102847
2010,XM-DAC-6-4,123826697.134785
2009,XM-DAC-6-4,98210362.4976699
2008,XM-DAC-6-4,120149115.521563
2007,XM-DAC-6-4,120420038.211377
2006,XM-DAC-6-4,79032207.2649888
2005,XM-DAC-6-4,61084853.5145962
2004,XM-DAC-6-4,74642336.4407846
2003,XM-DAC-6-4,70281341.3863813
2002,XM-DAC-6-4,74410738.9722132
2001,XM-DAC-6-4,51970600.7058832
2000,XM-DAC-6-4,38844130.7042445
1999,XM-DAC-6-4,30429336.7337458
1998,XM-DAC-6-4,33015592.6936638
1997,XM-DAC-6-4,23768683.6944127
1996,XM-DAC-6-4,36203432.0238995
1995,XM-DAC-6-4,20113751.210757
1994,XM-DAC-6-4,9739580.60433822
1993,XM-DAC-6-4,5264394.37304566
1992,XM-DAC-6-4,8749277.35609342
1991,XM-DAC-6-4,7784042.77046434
1990,XM-DAC-6-4,7106836.10936521
1989,XM-DAC-6-4,9017483.83216112
1988,XM-DAC-6-4,6006998.67677336
1987,XM-DAC-6-4,1765837.98725941
1986,XM-DAC-6-4,141072.973936271
1985,XM-DAC-6-4,123079.451184821
2019,GB-CH-4161656,20351.0981373651
2018,GB-CH-4161656,1367301.95866599
2017,GB-CH-4161656,1738026.11316995
2016,GB-CH-4161656,910116.42820172
2015,GB-CH-4161656,205178.170362886
2014,GB-CH-4161656,23020.2020695831
2013,GB-CH-4161656,30230.666012508
2012,GB-CH-4161656,7179.48317341047
2020,GB-COH-04161656,273672.395346784
2019,GB-COH-04161656,162302.834425053
2020,BE-BCE_KBO-0418088113,61233.7136790008
2019,BE-BCE_KBO-0418088113,8093847.4500309
2018,BE-BCE_KBO-0418088113,7708933.01940572
2017,BE-BCE_KBO-0418088113,8356995.42591012
2020,XM-DAC-41108,596742779.142055
2019,XM-DAC-41108,623953106.001469
2018,XM-DAC-41108,560255293.250064
2017,XM-DAC-41108,592844221.02066
2016,XM-DAC-41108,477115552.238527
2015,XM-DAC-41108,471596344.375409
2014,XM-DAC-41108,340982254.309822
2013,XM-DAC-41108,327019042.419336
2012,XM-DAC-41108,301275395.798801
2011,XM-DAC-41108,281854790.580984
2010,XM-DAC-41108,246792371.024854
2009,XM-DAC-41108,217402535.103329
2008,XM-DAC-41108,190069298.007943
2007,XM-DAC-41108,241465090.517801
2006,XM-DAC-41108,250405609.96121
2005,XM-DAC-41108,259252062.343865
2004,XM-DAC-41108,243971644.634392
2003,XM-DAC-41108,206633588.026669
2002,XM-DAC-41108,361630059.96567
2001,XM-DAC-41108,303424622.646896
2000,XM-DAC-41108,307421052.988673
1999,XM-DAC-41108,266457610.133989
1998,XM-DAC-41108,224175360.037678
1997,XM-DAC-41108,199373062.739459
1996,XM-DAC-41108,189005382.688071
1995,XM-DAC-41108,160909969.833815
1994,XM-DAC-41108,117025094.142487
1993,XM-DAC-41108,133447522.077508
1992,XM-DAC-41108,100844512.023212
1991,XM-DAC-41108,156069653.305013
1990,XM-DAC-41108,136786437.741754
1989,XM-DAC-41108,138006205.104757
1988,XM-DAC-41108,132997362.862342
1987,XM-DAC-41108,155788316.28558
1986,XM-DAC-41108,253912328.99156
1985,XM-DAC-41108,198800247.865335
1984,XM-DAC-41108,186902599.716254
1983,XM-DAC-41108,124609222.899151
1982,XM-DAC-41108,79998701.055169
1981,XM-DAC-41108,52090767.4457628
1980,XM-DAC-41108,5167737.16
2020,NL-KVK-41207989,16593223.7441323
2019,NL-KVK-41207989,34221396.8332768
2018,NL-KVK-41207989,18912003.60015
2017,NL-KVK-41207989,25153297.7034771
2016,NL-KVK-41207989,19726638.9263721
2015,NL-KVK-41207989,3532765.18337517
2020,GB-COH-03580586-GEC,43135235.8588527
2019,GB-COH-03580586-GEC,59975089.7076127
2018,GB-COH-03580586-GEC,44945171.44928
2017,GB-COH-03580586-GEC,68489527.4833191
2016,GB-COH-03580586-GEC,69119875.640141
2015,GB-COH-03580586-GEC,43761796.2613239
2014,GB-COH-03580586-GEC,48460043.8746036
2013,GB-COH-03580586-GEC,35803627.6642413
2020,46002,2781389273.95405
2019,46002,2149413152.43345
2018,46002,2198296260.16597
2017,46002,2873218807.98234
2016,46002,2582787882.65548
2015,46002,1775334555.35263
2014,46002,1668685422.98318
2013,46002,1794907621.34931
2012,46002,2053861213.99358
2011,46002,1784178775.78073
2010,46002,1318753929.32935
2009,46002,18690897277.361
2020,GB-GOV-13,186901712.567632
2019,GB-GOV-13,547224727.010908
2018,GB-GOV-13,247510489.280209
2017,GB-GOV-13,336665342.225266
2016,GB-GOV-13,67416351.5775464
2015,GB-GOV-13,14947986.2464816
2014,GB-GOV-13,5242177.17212008
2013,GB-GOV-13,50093.1395032347
2019,BE-BCE_KBO-0462132150,3083448.50387029
2018,BE-BCE_KBO-0462132150,3076474.71327527
2017,BE-BCE_KBO-0462132150,2288721.5450204
2021,XM-OCHA-CERF,44955300
2020,XM-OCHA-CERF,781514415
2019,XM-OCHA-CERF,533768173
2018,XM-OCHA-CERF,496538067
2017,XM-OCHA-CERF,419708087
2016,XM-OCHA-CERF,445090360
2015,XM-OCHA-CERF,487629559
2014,XM-OCHA-CERF,443902683.1
2013,XM-OCHA-CERF,473253094
2012,XM-OCHA-CERF,484187664
2011,XM-OCHA-CERF,418511727
2010,XM-OCHA-CERF,460970246
2009,XM-OCHA-CERF,357353059
2008,XM-OCHA-CERF,431428844.27
2007,XM-OCHA-CERF,373740756.69
2006,XM-OCHA-CERF,226060780.43
2020,BD-NAB-1301,44916105893.3899
2019,BD-NAB-1301,184121319530.003
2018,BD-NAB-1301,361309050743.929
2017,BD-NAB-1301,429326318747.227
2016,BD-NAB-1301,480733644546.685
2015,BD-NAB-1301,429404147050.295
2014,BD-NAB-1301,72250270618.0716
2019,US-EIN-75-3130860,10435026.7159654
2018,US-EIN-75-3130860,2432816.29101721
2021,SE-0,131951.480028342
2020,SE-0,4226747764.94675
2019,SE-0,5785275011.53671
2018,SE-0,5983404759.71876
2017,SE-0,5625092717.4529
2016,SE-0,5098443473.72874
2015,SE-0,6712469740.82154
2014,SE-0,5871976191.23166
2013,SE-0,5680204632.8333
2012,SE-0,5400777021.24865
2011,SE-0,5511550209.19219
2010,SE-0,4522590017.22529
2009,SE-0,4528386091.03273
2008,SE-0,4694531902.05848
2007,SE-0,4292524718.27451
2006,SE-0,3941294114.2582
2005,SE-0,3174968019.00193
2004,SE-0,2693641131.72339
2003,SE-0,2221066615.36129
2002,SE-0,1990451832.76618
2001,SE-0,1632896286.81131
2000,SE-0,1807502396.47621
1999,SE-0,1641418445.25858
1998,SE-0,1616830308.34518
2020,GB-CHC-220949,54641394.1523194
2017,GB-CHC-1117528,35056.6778181816
2016,GB-CHC-1117528,46244.8886920956
2015,GB-CHC-1117528,65400.1917395855
2014,GB-CHC-1117528,26936.1779605108
2020,GB-CHC-202918,86697565.6948104
2019,GB-CHC-202918,135401238.013188
2018,GB-CHC-202918,132906740.000674
2017,GB-CHC-202918,137888658.34255
2016,GB-CHC-202918,110905440.833036
2015,GB-CHC-202918,102472805.083707
2014,GB-CHC-202918,93216255.9405801
2013,GB-CHC-202918,188033719.039042
2012,GB-CHC-202918,113105249.93993
2011,GB-CHC-202918,102299756.849172
2010,GB-CHC-202918,55919539.3862162
2009,GB-CHC-202918,21383326.3245141
2008,GB-CHC-202918,5270041.07180657
2007,GB-CHC-202918,657259.945217209
2006,GB-CHC-202918,10549.1513567994
2020,XM-DAC-41110,70036049
2019,XM-DAC-41110,59767169
2018,XM-DAC-41110,56980620
2017,XM-DAC-41110,59072362
2015,XM-DAC-41110,128625300
2010,XM-DAC-41110,0
2020,GB-CHC-1115109,1162079.9277044
2019,GB-CHC-1115109,1444254.17536174
2018,GB-CHC-1115109,1181416.84136468
2017,GB-CHC-1115109,1504845.84781338
2016,GB-CHC-1115109,1278989.70360227
2015,GB-CHC-1115109,484099.260570893
2014,GB-CHC-1115109,266799.114668819
2013,GB-CHC-1115109,18475.6894501755
2020,47045,1192762365.82
2019,47045,1001424607.88
2018,47045,1020551309.84
2017,47045,1529974552.5
2016,47045,1451570754.6
2015,47045,1910415412.28
2014,47045,2576308735.19
2013,47045,3501293351.68
2012,47045,3060808138.53
2011,47045,2245207265.5
2010,47045,2650108240.08
2009,47045,2432741921.64
2008,47045,1823645114.85
2007,47045,1360391181.73
2006,47045,1082189873.53
2005,47045,826540435.41
2004,47045,517693868.01
2003,47045,166051891.85
2002,47045,897869
2018,UG-NGB-0498,509180067547.549
2017,UG-NGB-0498,1090014087.21265
2020,JO-MSD-2011101100001,84827.0782347388
2020,NL-KVK-41197577,2734643.4173292
2019,NL-KVK-41197577,5685225.9389046
2018,NL-KVK-41197577,1428369.30537
2020,GB-CHC-285908,2824273.7042936
2019,GB-CHC-285908,6297678.03394955
2018,GB-CHC-285908,3168663.86874007
2017,GB-CHC-285908,833089.275568737
2014,GB-CHC-285908,23495.3572665884
2013,GB-CHC-285908,722080.687220013
2012,GB-CHC-285908,2502222.20550483
2011,GB-CHC-285908,1021151.39964582
2020,XM-OCHAS-HPC6770,152281721.08
2019,XM-OCHAS-HPC6770,198103088
2018,XM-OCHAS-HPC6770,1136895744
2017,XM-OCHAS-HPC6770,284159806
2016,XM-OCHAS-HPC6770,58787161
2015,XM-OCHAS-HPC6770,12616
2020,US-EIN-82-0644678,5293325892.89631
2019,US-EIN-82-0644678,1756785288.76266
2020,NL-KVK-27368929,185571.393606227
2019,NL-KVK-27368929,311508.217749496
2019,NL-KVK-09098104,6355908.56045316
2018,NL-KVK-09098104,10467216.2869029
2017,NL-KVK-09098104,16581174.6513396
2016,NL-KVK-09098104,12292178.1520005
2020,US-18,466382108.65
2019,US-18,577473207.92
2018,US-18,715277232.66
2017,US-18,719539661.04
2016,US-18,678057489.15
2015,US-18,718704125.66
2014,US-18,863453330.76
2013,US-18,1653623987.9
2012,US-18,1329852004.7
2011,US-18,1558781706.04
2010,US-18,1224820769.39
2009,US-18,787222708.39
2008,US-18,396592345.24
2007,US-18,235814585.62
2006,US-18,150239261.52
2005,US-18,47895338
2004,US-18,6992008.66
2019,XM-DAC-47136,23242829.85
2018,XM-DAC-47136,25200865.91
2017,XM-DAC-47136,23194634.74
2015,GB-COH-7557881,21351.2561400883
2014,GB-COH-7557881,43047.5568931297
2020,ES-DIR3-EA0035768,183786978.780502
2019,ES-DIR3-EA0035768,235584482.779814
2018,ES-DIR3-EA0035768,202558248.411628
2017,ES-DIR3-EA0035768,13053362.6290734
2016,ES-DIR3-EA0035768,5001722.63948104
2015,ES-DIR3-EA0035768,5104578.03208243
2014,ES-DIR3-EA0035768,7482118.48791312
2013,ES-DIR3-EA0035768,18169.8061422844
2012,ES-DIR3-EA0035768,45018.5915852969
2020,XM-DAC-928,1113359362.24
2019,XM-DAC-928,2881859118.68
